Toplam kelime sayısı: 4993
Benzersiz kelime sayısı: 1529

==================================================

SIRA | KELİME | TEKRAR SAYISI
--------------------------------------------------
   1 | di                             | 138
   2 | e                              | 122
   3 | che                            | 122
   4 | non                            | 102
   5 | luca                           | 86
   6 | a                              | 81
   7 | è                              | 77
   8 | ma                             | 75
   9 | mi                             | 68
  10 | ha                             | 68
  11 | ho                             | 61
  12 | per                            | 50
  13 | da                             | 49
  14 | in                             | 46
  15 | io                             | 44
  16 | sono                           | 40
  17 | con                            | 37
  18 | ti                             | 37
  19 | coraline                       | 37
  20 | me                             | 35
  21 | ##                             | 33
  22 | capitolo                       | 32
  23 | più                            | 30
  24 | era                            | 29
  25 | tu                             | 29
  26 | sempre                         | 28
  27 | te                             | 28
  28 | detto                          | 26
  29 | ci                             | 26
  30 | lontana                        | 26
  31 | abbiamo                        | 24
  32 | siamo                          | 23
  33 | come                           | 23
  34 | se                             | 23
  35 | sei                            | 22
  36 | perché                         | 22
  37 | quindi                         | 22
  38 | fuori                          | 21
  39 | anche                          | 20
  40 | si                             | 20
  41 | sento                          | 20
  42 | solo                           | 19
  43 | casa                           | 19
  44 | quando                         | 18
  45 | elena                          | 18
  46 | il mio                         | 17
  47 | tutto                          | 16
  48 | ogni                           | 16
  49 | dentro                         | 16
  50 | insieme                        | 15
  51 | noi                            | 15
  52 | paura                          | 15
  53 | essere                         | 15
  54 | loro                           | 15
  55 | marlena                        | 15
  56 | l'amore                        | 14
  57 | torna                          | 14
  58 | la mia                         | 13
  59 | mia                            | 13
  60 | testa                          | 13
  61 | ancora                         | 12
  62 | ero                            | 12
  63 | la paura                       | 12
  64 | cosa                           | 12
  65 | poi                            | 12
  66 | lei                            | 12
  67 | il sole                        | 11
  68 | sì                             | 11
  69 | forse                          | 11
  70 | no                             | 11
  71 | voglio                         | 11
  72 | andare                         | 11
  73 | dimmi                          | 11
  74 | le tue                         | 11
  75 | verità                         | 11
  76 | madre                          | 10
  77 | amo                            | 10
  78 | niente                         | 10
  79 | risposto                       | 9
  80 | quella                         | 9
  81 | mano                           | 9
  82 | o                              | 9
  83 | le sue                         | 9
  84 | fa                             | 9
  85 | avere                          | 9
  86 | parla                          | 9
  87 | sarò                           | 9
  88 | storia                         | 8
  89 | mai                            | 8
  90 | prima                          | 8
  91 | iniziato                       | 8
  92 | sto                            | 8
  93 | hai                            | 8
  94 | questo                         | 8
  95 | stato                          | 8
  96 | perfetto                       | 8
  97 | su                             | 8
  98 | il freddo                      | 8
  99 | del buio                       | 8
 100 | qua                            | 8
 101 | forte                          | 7
 102 | milano                         | 7
 103 | un giorno                      | 7
 104 | eravamo                        | 7
 105 | la sua                         | 7
 106 | avevo                          | 7
 107 | diverso                        | 7
 108 | amici                          | 7
 109 | cui                            | 7
 110 | aveva                          | 7
 111 | hanno                          | 7
 112 | qui                            | 7
 113 | capito                         | 7
 114 | cose                           | 7
 115 | dove                           | 7
